"%s - Discounts and Coupons","%s - Slevy a kupóny"
"%s - Special Discounts","%s - Speciální slevy"
"%s has reached a quantity of %s.","%s dosáhl množství %s."
"%s's Wishlist","Knih přání: %s"
"Cannot retrieve the wishlist","Nelze získat knihu přání"
"Catalog","Katalog"
"Comment: %s<br/>","Komentářů: %s<br/>"
"Coupons/Discounts","Kupóny/Slevy"
"Current Status: %s<br/>","Aktuální stav: %s<br/>"
"Customer Name: %s","Jméno zákazníka: %s"
"Customer Order Status Notification","Upozornění na stav objednávky zákazníka"
"Details for %s #%s","Detaily pro %s #%s"
"Discount ","Sleva "
"Enable RSS","Povolit RSS"
"Error in processing xml. %s","Chyba při zpracování xml. %s"
"From:","Od:"
"Get Feed","Odebírat"
"Gift Message","Přání"
"Grand Total","Celkový součet"
"Low Stock Products","Nízký stav produktů"
"Message:","Zpráva:"
"Miscellaneous Feeds","Smíšené odběry"
"New Orders","Nové objednávky"
"New Products","Nové produkty"
"New Products from %s","Nové produkty od %s"
"Notified Date: %s<br/>","Datum oznámení: %s<br/>"
"Order # %s Notification(s)","Oznámení objednávky č. %s"
"Order #%s created at %s","Objednávka č. %s vytvořena v %s"
"Pending product review(s)","Čekající recenze produktů."
"Product: ""%s"" review By: %s","Produkt: ""%s"" recenzovaný: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produkt: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produkty označené %s"
"Purchased From: %s","Koupený od: %s"
"RSS","RSS"
"RSS Feeds","RSS zdroje"
"RSS testing","testování RSS"
"Review: %s <br/>","Recenze: %s <br/>"
"Rss Config","Nastavení RSS"
"Shipping & Handling","Poštovné a balné"
"Special Products","Speciální produkty"
"Special/Discount Products","Speciální/Zlevněné Produkty"
"Store: %s <br/>","Obchod: %s <br/>"
"Subtotal","Součet"
"Summary of review: %s <br/>","Souhrn recenzí: %s <br/>"
"Tags Products","Štítky produktů"
"Tax","Daň"
"There are no %s.","%s zde není."
"To:","Pro:"
"Top Level Category","Nejvyšší kategorie"
"Total: %s<br/>","Celkem: %s <br/>"
"Wishlist","Kniha přání"
"click <a href=""%s"">here</a> to view the review","Pro zobrazení recenze klikněte <a href=""%s"">zde</a>"
"Order","Objednávka"
