"Action","Událost"
"All types","Všechny typy"
"Backup file ""%s"" can't read or write","Soubor se zálohou ""%s"" nelze číst nebo zapsat"
"Backup file ""%s"" doesn't exist","Soubor se zálohou ""%s"" neexistuje"
"Backup file doesn't exist","Soubor se zálohou neexistuje"
"Backup file handler don't specify","Ovladač záloh není specifikován"
"Backup file path don't specify","Cesta k záloze není specifikována"
"Backups","Zálohy"
"Cannot read backup file","Soubor se zálohou nelze přečíst"
"Create Backup","Vytvořit zálohu"
"DB","DB"
"Download","Stáhnout"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Soubor je komprimován Zlib, ale toto rozšíření není na serveru nainstalováno"
"Notifications","Upozornění"
"Size, byte","Velikost, byte"
"Time","Čas"
"Type","Typ"
"Wrong order of creation for new backup","Špatné řazení pro vytvoření nové zálohy"
