"Add Sitemap","Přidat mapu stránek"
"Always","Vždy"
"CMS Pages Options","CMS Možnosti"
"Categories Options","Vlastnosti kategorií"
"Daily","Denně"
"Edit Sitemap","Upravit mapu stránek"
"Enabled","Aktivní"
"Error Email Recipient","Chyba e-mailového příjemce"
"Error Email Sender","Chyba e-mailového odesilatele"
"Error Email Template","Chyba v e-mailové šabloně"
"Filename","Jméno souboru"
"Frequency","Četnost"
"Generation Settings","Obecná nastavení"
"Google Sitemap","Google SiteMap"
"Hourly","každou hodinu"
"ID","ID"
"Last Time Generated","Naposledy generováno"
"Link for Google","Odkaz pro Google"
"Monthly","Měsíčně"
"Never","Nikdy"
"New Sitemap","Nová mapa stránek"
"Path","Cesta"
"Please create the specified folder ""%s"" before saving the sitemap.","Před uložením mapy stránek vytvořte prosím určenou složku ""%s""."
"Please define correct path","Definujte prosím správnou cestu"
"Please make sure that ""%s"" is writable by web-sebver.","Ověřte prosím, že do ""%s"" lze zapisovat web-serverem."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) only in the filename. No spaces or other characters are allowed.","Při pojmenovávání souborů užívejte prosím pouze písmena (a-z nebo A-Z), čísla (0-9) nebo podtržítko (_). Mezery ani jiné znaky nejsou povoleny."
"Priority","Priorita"
"Priority must be between 0 and 1","Priorita musí být mezi 0 a 1"
"Products Options","Možnosti produktu"
"Sitemap","Mapa stránek"
"Sitemap generate Warnings","Varování při generování mapy stránek"
"Sitemap was successfully deleted","Mapa stránek byla úspěšně smazána"
"Sitemap was successfully saved","Mapa stránek byla úspěšně uložena"
"Start Time","Doba startu"
"Store View","Store View"
"This sitemap no longer exists","Mapa stránek již neexistuje"
"Unable to find a sitemap to delete","Nenalezena mapa stránek k smazání"
"Weekly","Týdně"
"Yearly","Ročně"
"CMS Pages Options","Možnosti CMS"
"Generation Settings","Obecná nastavení"
"Valid values range from 0.0 to 1.0","Rozmezí od 0.0 do 1.0"
"Action","Akce"
