"Alert Email Sender","Odesilatel e-mailu Hlídací pes"
"Alert subscription was deleted successfully","Odebírání Hlídací pes úspěšně smazáno"
"Alert subscription was saved successfully","Odebírání Hlídací pes úspěšně uloženo"
"Allow alert when product comes back in stock","Povolit Hlídací pes, pokud se produkt vrátí zpět na sklad"
"Allow alert when product price changes","Povolit upozorňování pokud se změní cena"
"Click here not to receive alerts for this product","Klepněte zde pro zrušení Hlídací pes této položky"
"Error Email Recipient","Chyba e-mailového příjemce"
"Error Email Sender","Chyba e-mailového odesilatele"
"Error Email Template","Chyba v e-mailové šabloně"
"Frequency","Četnost"
"Not enough parameters","Nedostatek parametrů"
"Please try again later","Prosím zkuste to později"
"Price alert Email Template","Šablona e-mailu cenového upozornění"
"Price:","Cena:"
"Product Alerts","Hlídací pes"
"Product Alerts Run Settings","Nastavení běhu Hlídací pes"
"Product alerts Cron error","Chyba Cronu při Hlídací pes"
"Product not found","Produkt nenalezen"
"Product price alert","Hlídací pes ceny"
"Product stock alert","Upozornění na stav skladu produktu"
"Sign up for price alert","Odebírat upozornění na cenu"
"Sign up to get notified when this product is back in stock","Odebírat upozornění pokud je zboží opět skladem"
"Special price:","Zvláštní cena:"
"Start Time","Doba startu"
"Stock alert Email Template","Šablona e-mailu skladového upozornění"
"Unsubscribe from all price alerts","Odhlásit z hlídání všech cen"
"Unsubscribe from all stock alerts","Odhlásit z hlídání všech stavů skladu"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Dovolujeme si Vás na Vaši žádost upozornit, že níže uvedené zboží je opět na skladě:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Dovolujeme si Vás na Vaši žádost informovat, že u následujících produktů došlo ke změně ceny:"
"You will no longer receive price alerts for this product","Nadále již nebudete dostávat upozorňování na změnu ceny produktů"
"You will no longer receive stock alerts","Nadále již nebudete dostávat upozornění na změnu stavu skladu."
"You will no longer receive stock alerts for this product","Nadále již nebudete dostávat upozornění na změnu stavu skladu tohoto výrobku"
