"API Password","API Heslo"
"API Signature","API Podpis"
"API User Name","API Uživatelské jméno"
"Amex","Amex"
"Authorization","Autorizace"
"Authorize and Capture","Authorize and Capture"
"Billing Information","Platební údaje"
"Business Account","Obchodní účet"
"Business Name","Obchodní jméno"
"Card Verification Number","Ověřovací číslo karty (CCV)"
"Change Payment Method","Změnit způsob platby"
"Change Shipping Address","Změnit dodací adresu"
"Credit Card Number","Číslo platební karty"
"Credit Card Number: xxxx-%s","Číslo platební karty: xxxx-%s"
"Credit Card Type","Typ platební karty"
"Credit Card Type: %s","Typ platební karty: %s"
"Credit Card Types","Typ platební karty"
"Debug Flag","Ladící znaky"
"Discover","Zjistit"
"Edit Shopping Cart","Upravit košík"
"Enabled","Aktivní"
"Error in creating an invoice","Chyba při vytváření faktury"
"Error in refunding the payment","Chyba při placení"
"Expiration Date","Datum expirace"
"Expiration Date: %s/%s","Datum expirace: %s/%s"
"Invalid transaction id","Chybné id transakce"
"Invoice ","Faktura "
"Issue Number","Problém číslo"
"Items in Your Shopping Cart","Položky v nákupním košíku"
"MasterCard","MasterCard"
"N/A","nedefinováno"
"Name on Card","Jméno na kartě"
"Name on the Card: %s","Jméno na kartě: %s"
"New order status","Nový stav objednávky"
"Order","Objednávka"
"Order total amount does not match paypal gross total amount","Celková částka objednávky není stejná jako celková částka PayPal"
"PayPal Accounts","Účet PayPal"
"PayPal Direct (Website Payments Pro)","PayPal Direct (Website Payments Pro)"
"PayPal Email","PayPal E-mail"
"PayPal Standard (Website Payments Standard)","PayPal Standard (Website Payments Standard)"
"PayPal Uk Account","Účet PayPal Uk"
"Payment Action","Platební akce"
"Payment Method","Způsob platby"
"Payment from Specific countries","Platby z vybraných zemí"
"Payment from applicable countries","Platby z použitelných zemí"
"Paypal Checkout","Zaplatit PayPalem"
"Paypal Express (Website Payments Pro)","Paypal Express (Website Payments Pro)"
"Paypal IPN Invalid.","Chybný IPN Paypal"
"Paypal Logo Image URL","Paypal Logo Image URL"
"Paypal URL","Paypal URL"
"Place an Order","Odeslat objednávku"
"Please select a shipping method...","Vyberte prosím způsob dodání..."
"Please select a valid shipping method","Vyberte prosím platný způsob dopravy"
"Price","Cena"
"Problem during communication with PayPal","Při komunikaci s PayPalem došlo k chybě"
"Product Name","Název produktu"
"Proxy Host","Server"
"Proxy Port","Port Proxy"
"Qty","Množství"
"Received IPN verification","Přijaté ověřovací IPN"
"Review Order","Přehled objednávky"
"Sale","Prodej"
"Sandbox Flag","Pískoviště"
"Selected currency code (","Vybrat kód měny ("
"Shipping Address","Dodací adresa"
"Shipping Information","Dodací údaje"
"Shipping Method","Způsob dodání"
"Sorry, no quotes are available for this order at this time.","Litujeme, pro tuto objednávku nyní nejsou k dispozici žádné nabídky."
"Sort order","Pořadí objednávek"
"Start Date","Datum začátku"
"Submitting order information...","Dodací údaje"
"Subtotal","Součet"
"Switch/Solo Only","Switch/Solo samostatný"
"Switch/Solo card issue number: %s","Switch/Solo bezpečnostní číslo karty: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo datum začátku karty: %s/%s"
"There has been an error processing your payment. Please try later or contact us for help.","Nastala chyba při placení. Prosím zkuste to později a nebo nás kontaktujte."
"There was an error connecting to the Paypal server: %s","Při připojování k serveru PayPalu došlo k chybě: %s"
"There was an error during communication with Paypal: %s - %s","Při komunikaci s PayPalem došlo k chybě: %s - %s"
"Title","Nadpis"
"Transaction Type","Typ transakce"
"Type","Typ"
"Unknown PayPal API error: %s","Neznámá chyba PayPal rozhraní: %s"
"Update Shipping Method","Upravit způsob doručení"
"Use Proxy","Použít Proxy"
"Visa","Visa"
"Website Payments Pro (Express, Direct)","Website Payments Pro (Express, Direct)"
"Website Payments Standard","Webstránky Payments Standard"
"What is this?","Co to je?"
"You will be redirected to paypal in a few seconds.","Během několika sekund budete přesměrováni na paypal."
"Your billing address will be ignored and you will be redirected to PayPal UK website","Vaše fakturační adresa bude ignorována a budete přesměrováni na PayPal UK stránky"
"Maximum image size is 750x90 px.","Maximální velikost obrázku je 750x90 px."
"Password","Heslo"
"Paypal Logo Image URL","URL obrázku pro Paypal Logo "
"User","Uživatel"
