"Actions","Události"
"Active","Aktivní"
"Add New Rule","Přidat nové pravidlo"
"Apply Rules","Použít pravidla"
"Attribute Set","Kolekce atributů"
"Catalog","Katalog"
"Catalog Price Rule","Pravidlo katalogových cen"
"Catalog Price Rules","Pravidla katalogových cen"
"Category","Kategorie"
"Comments History","Historie komentářů"
"Conditions","Podmínky"
"Conditions (leave blank for all products)","Pravidla (ponechte prázdné pro všechny produkty)"
"Conditions Combination","Kombinace podmínek"
"Credit Memos","Dobropisy"
"Customer Groups","Skupiny zákazníků"
"Customer is new buyer: %s","Zákazník je nový nakupující: %s"
"Customer registered: %s","Zákazník registrován: %s"
"Date Expire","Datum vyprší"
"Date From","Datum Od"
"Date Start","Datum začátku"
"Date To","Datum Do"
"Delete Rule","Smazat pravidlo"
"Description","Popis"
"Description: %s","Popis: %s"
"Edit Rule","Upravit pravidlo"
"Edit Rule '%s'","Upravit pravidlo '%s'"
"Expire at: %s","Vyprší: %s"
"From Date","Od data"
"General Information","Všeobecné informace"
"Gift Messages","Přání"
"ID","ID"
"Inactive","Neaktivní"
"Invoices","Faktury"
"NOT LOGGED IN","NEPŘIHLÁŠEN"
"Name: %s","Název: %s"
"New Rule","Nové pravidlo"
"No","Ne"
"Options","Možnosti"
"Order Credit Memos","Dobropisy objednávky"
"Order Gift Messages","Přání k objednávkám"
"Order History","Historie objednávky"
"Order Invoices","Faktury objednávky"
"Order Shipments","Zásilky objednávky"
"Priority","Priorita"
"Product Attribute","Atribut produktu"
"Promotions","Propagace"
"Rule Information","Informace o pravidlech"
"Rule Name","Jméno pravidla"
"Rule was successfully deleted","Pravidlo bylo úspěšně odstraněno"
"Rule was successfully saved","Pravidlo bylo úspěšně uloženo"
"Rules were successfully applied","Pravidla byla úspěšně použita"
"Save Rule","Uložit pravidlo"
"Save and Apply","Uložit a použít"
"Shipments","Zásilky"
"Start at: %s","Začátek: %s"
"Status","Stav"
"Stop further rules processing","Zastavit zpracování dalších pravidel"
"The page you are trying to save no longer exists","Stránka kterou zkoušíte uložit již neexistuje"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Zde jsou pravidla která byla změněna, ale nepoužita. Pro okamžitý efekt v katalogu, klepněte na Použít pravidla"
"This rule no longer exists","Tato pravidlo již neexistuje"
"To Date","Do data"
"Unable to apply rules","Nelze použít pravidla"
"Unable to find a page to delete","Nenalezena stránka ke smazání"
"Update product's %s %s: %s","Aktualizovat produktové %s %s: %s"
"Websites","Websites"
"Yes","Ano"
"is","je"
"is not","není"
"equals or greater than","rovná se nebo je větší než"
"equals or less than","rovná se nebo je menší než"
"greater than","větší než"
"less than","menší než"
"contains","obsahuje"
"does not contain","neobsahuje"
"is one of","je jeden z "
"is not one of","není jeden z"
