"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s úspěšně přidán do knihy přání. Klepněte <a href=""%2$s"">zde</a> pro pokračování v nákupu"
%s's Wishlist,Kniha přání uživatele %s
"* Required Fields","* Povinná pole"
"Add All to Cart","Přidat vše do košíku"
"Add to Cart","Přidat do košíku"
Add to Wishlist,Přidat do knihy přání
"Added On","Přidáno"
Are you sure you want to remove this product from your wishlist?,Určitě chcete tuto položku odstranit z Vaší knihy přání?
Are you sure you would like to remove this item from the wishlist?,Určitě chcete tuto položku odstranit z Vaší knihy přání?
"Back","Zpět"
"Can't save description %s","Nemohu uložit popis %s"
Cannot create wishlist,Knihu přání nelze vytvořit
"Cannot specify product","Produkt není specifikován"
Check this checkbox if you want to add a link to an rss feed to your wishlist.,Zaškrtněte tuto možnost pokud chcete přidat odkaz do vašeho rss kanálu Knihy přání.
"Comment","Komentář"
Email Sender,Odesilatel e-mailu
Email Template,Šablony e-mailu
Email address can't be empty.,E-mailová adresa nesmí být prázdná.
"Email addresses, separated by commas","E-mailové adresy, oddělené čárkou"
"Enabled","Aktivní"
"General Options","Obecné možnosti"
Go to Wishlist,Přejít do knihy přání
"Last Added Items","Naposledy přidané položky"
"Message","Zpráva"
My Wishlist,Moje kniha přání
My Wishlist (%d item),Moje kniha přání (položka: %d)
My Wishlist (%d items),Moje kniha přání (položky: %d)
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.",Zadejte prosím platné e-maily oddělené čárkou.
"Please, enter your comments...","Vložte prosím Váš komentář..."
"Product","Produkt"
"RSS Feed","RSS zdroj"
RSS link to %s's wishlist,RSS odkaz na %s knihu přání
"Remove Item","Odstranit položku"
Share Wishlist,Sdílet knihu přání
Share Your Wishlist,Sdílet Vaši knihu přání
"Share options","Možnosti sdílení"
"Sharing Information","Informace o sdílení"
There was an error while adding item to wishlist.,Vyskytla se chyba při přidávání položky do knihy přání.
There was an error while adding item to wishlist: %s,Vyskytla se chyba při přidávání položky do knihy přání: %s
There was an error while deleting item from wishlist.,Vyskytla se chyba při mazání položky z knihy přání.
There was an error while deleting item from wishlist: %s,Vyskytla se chyba při mazání položky z knihy přání: %s
This product(s) is currently out of stock:,Produkt(y) bohužel nejsou momentálně na skladě:
Update Wishlist,Aktualizovat knihu přání
"View Product","Zobrazit produkt"
Wishlist,Kniha přání
Wishlist Sharing,Sdílení knihy přání
Wishlist is empty now.,Kniha přání je nyní prázdná.
You have no items in your wishlist.,Ve Vaší knize přání nemáte žádné položky.
You input not valid email address.,Zadali jste neplatnou e-mailovou adresu.
Your Wishlist was successfully shared,Vaše kniha přání byla úspěšně nasdílena
