"--Select--","--Vyberte--"
"Add New Option","Přidat novou možnost"
"Add Selection","Přidat výběr"
"As low as","Nejméně"
Bundle Items,Bundle položky
Bundle Product,Bundle produkt
Buy %1$s with %2$s discount each,KOupit %1$s s %2$s discount na každý
Checkbox,zaškrtávací políčko
"Choose a selection...","Zvolte možnost..."
"Close","Zavřít"
"Default","Výchozí"
"Default Qty","Výchozí Množství"
"Default Title","Výchozí nadpis"
"Drop-down","rozbalovací seznam"
"Dynamic","Dynamické"
"Excl. Tax","Bez daně"
"Fixed","Pevné"
"From","Od"
"From:","Od:"
"Gift Message","Přání"
"Input Type","Vstupní typ"
"Is Required","Je vyžadováno"
"Message:","Zpráva:"
"Multiple Select","Vícenásobný výběr (označení)"
"N/A","nedefinováno"
"No options of this product are available.","Tento produkt nemá žádné dostupné možnosti."
"None","Žádné"
"Percent","Procent"
"Percent Discount","Procentní sleva"
"Please enter search conditions to view products.","Zadejte vyhledávací pravidla pro zobrazení produktů."
"Please select options for product.","Zvolte možnosti pro produkt."
"Please select products to add","Vyberte produkt k přidání"
Please specify the bundle option(s),Specifikujte možnosti bundle
"Position","Pozice"
"Price Range","Cenový rozsah"
"Price Type","Typ ceny"
"Qty:","Množství:"
"Radio Buttons","Přepínač"
"Required options not selected.","Vyžadovaná možnost není označena."
"Selected required options not available.","Označená požadovaná možnost není dostupná."
"Separately","Odděleně"
"Ship Bundle Items","Doručení položek balení"
"Shipment","Zásilka"
"Store View Title","Nadpis pohledu na obchod"
"There is no defined renderer for ""%s"" option type","Není definováno zobrazení pro tento typ možnosti (%s)"
This product is also part of bundle(s),Tento produkt je také součástí bundle
"To","Pro"
"To:","Pro:"
"Together","Dohromady"
"User Defined Qty","Uživatelem definované množství"
